reduced test : 27, coverage : 0.9100817438692098, cross entropy : 3.929212542566546, accuracy : 0.7037037037037037
reduced test : 28, coverage : 0.9100817438692098, cross entropy : 3.3361971553480467, accuracy : 0.7142857142857143
reduced test : 29, coverage : 0.9100817438692098, cross entropy : 2.8024672365076593, accuracy : 0.7241379310344828
reduced test : 30, coverage : 0.9100817438692098, cross entropy : 2.5223056490391325, accuracy : 0.7333333333333333
reduced test : 31, coverage : 0.9100817438692098, cross entropy : 2.264556924889701, accuracy : 0.7419354838709677
reduced test : 32, coverage : 0.9100817438692098, cross entropy : 2.022992102643141, accuracy : 0.75
reduced test : 33, coverage : 0.9100817438692098, cross entropy : 1.7699695888079507, accuracy : 0.7575757575757576
reduced test : 34, coverage : 0.9100817438692098, cross entropy : 1.6038417568886585, accuracy : 0.7647058823529411
reduced test : 35, coverage : 0.9100817438692098, cross entropy : 1.4884031001027787, accuracy : 0.7714285714285715
reduced test : 36, coverage : 0.9100817438692098, cross entropy : 1.3362632385418463, accuracy : 0.7777777777777778
reduced test : 37, coverage : 0.9100817438692098, cross entropy : 1.2556262673264824, accuracy : 0.7837837837837838
reduced test : 38, coverage : 0.9100817438692098, cross entropy : 1.1781872336127437, accuracy : 0.7894736842105263
reduced test : 39, coverage : 0.9100817438692098, cross entropy : 1.1232149417209287, accuracy : 0.7948717948717948
reduced test : 40, coverage : 0.9100817438692098, cross entropy : 1.0544125172062073, accuracy : 0.8
reduced test : 41, coverage : 0.9100817438692098, cross entropy : 0.9564197191254121, accuracy : 0.8048780487804879
reduced test : 42, coverage : 0.9100817438692098, cross entropy : 0.9126030269160073, accuracy : 0.8095238095238095
reduced test : 43, coverage : 0.9100817438692098, cross entropy : 0.8608828248877116, accuracy : 0.813953488372093
reduced test : 44, coverage : 0.9100817438692098, cross entropy : 0.8247950741383823, accuracy : 0.8181818181818182
reduced test : 45, coverage : 0.9100817438692098, cross entropy : 0.7962403620495994, accuracy : 0.8222222222222222
reduced test : 46, coverage : 0.9100817438692098, cross entropy : 0.7497820161976995, accuracy : 0.8260869565217391
reduced test : 47, coverage : 0.9100817438692098, cross entropy : 0.7054097855754552, accuracy : 0.8297872340425532
reduced test : 48, coverage : 0.9100817438692098, cross entropy : 0.6723133058552571, accuracy : 0.8333333333333334
reduced test : 49, coverage : 0.9100817438692098, cross entropy : 0.6476800742838104, accuracy : 0.8367346938775511
reduced test : 50, coverage : 0.9100817438692098, cross entropy : 0.6183933428287911, accuracy : 0.84
