reduced test : 13, coverage : 0.9048582995951417, cross entropy : 8.956929644965395, accuracy : 1.0
reduced test : 14, coverage : 0.9048582995951417, cross entropy : 6.1875561707762925, accuracy : 1.0
reduced test : 15, coverage : 0.9048582995951417, cross entropy : 4.71399005359125, accuracy : 1.0
reduced test : 16, coverage : 0.9048582995951417, cross entropy : 3.8747432908530763, accuracy : 1.0
reduced test : 17, coverage : 0.9048582995951417, cross entropy : 3.2124691666100027, accuracy : 1.0
reduced test : 18, coverage : 0.9048582995951417, cross entropy : 2.915237969505116, accuracy : 1.0
reduced test : 19, coverage : 0.9048582995951417, cross entropy : 2.697682572293037, accuracy : 1.0
reduced test : 20, coverage : 0.9048582995951417, cross entropy : 2.427986272279314, accuracy : 1.0
reduced test : 21, coverage : 0.9048582995951417, cross entropy : 2.2309953667008773, accuracy : 1.0
reduced test : 22, coverage : 0.9048582995951417, cross entropy : 2.098964291918864, accuracy : 1.0
reduced test : 23, coverage : 0.9048582995951417, cross entropy : 1.9790852326220396, accuracy : 1.0
reduced test : 24, coverage : 0.9048582995951417, cross entropy : 1.8650176599710224, accuracy : 1.0
reduced test : 25, coverage : 0.9048582995951417, cross entropy : 1.7499870660896932, accuracy : 1.0
reduced test : 26, coverage : 0.9048582995951417, cross entropy : 1.635811557993005, accuracy : 1.0
reduced test : 27, coverage : 0.9048582995951417, cross entropy : 1.5293582906833567, accuracy : 1.0
reduced test : 28, coverage : 0.9048582995951417, cross entropy : 1.4426063017945077, accuracy : 1.0
reduced test : 29, coverage : 0.9048582995951417, cross entropy : 1.3660819381661882, accuracy : 1.0
reduced test : 30, coverage : 0.9048582995951417, cross entropy : 1.2643600462039508, accuracy : 1.0
reduced test : 31, coverage : 0.9048582995951417, cross entropy : 1.1692972835907087, accuracy : 1.0
reduced test : 32, coverage : 0.9048582995951417, cross entropy : 1.1110323712525607, accuracy : 1.0
reduced test : 33, coverage : 0.9048582995951417, cross entropy : 1.0391987429014402, accuracy : 1.0
reduced test : 34, coverage : 0.9048582995951417, cross entropy : 0.9562770788893624, accuracy : 1.0
reduced test : 35, coverage : 0.9048582995951417, cross entropy : 0.879251330389262, accuracy : 1.0
reduced test : 36, coverage : 0.9048582995951417, cross entropy : 0.8298196644644488, accuracy : 1.0
reduced test : 37, coverage : 0.9048582995951417, cross entropy : 0.7608570208602808, accuracy : 1.0
reduced test : 38, coverage : 0.9048582995951417, cross entropy : 0.6838288341058514, accuracy : 1.0
reduced test : 39, coverage : 0.9048582995951417, cross entropy : 0.6139110715661721, accuracy : 1.0
reduced test : 40, coverage : 0.9048582995951417, cross entropy : 0.5564030232100527, accuracy : 1.0
